1580107,29143,한국은 이제 그만 한미동맹 신화에서 벗어나야 자주적으로 확실한 국익 추구를 할 수 있다.,,,2021-05-22 11:55:33,2021-05-22 11:55:33
1580106,29143,남중국해 거의 전부가 중국영해라는 중국의 주장에 기가 막힌다. 양심도 바랄만한 사람에게 바라야하는 것 아닌가? 남의 영토에 대한 욕심이 거의 없는 미국은 정말 존경할 만한 나라다.,,,2021-05-22 11:58:30,2021-05-22 11:58:30
1580105,29143,저 b잉신 좋다고 쳐 웃는거봐~^^,,,2021-05-22 11:59:43,2021-05-22 11:59:43
1580104,29143,충견은 주인말을 들어야 충견이지. 역시 빨갱이답게 '중국' 단어 안넣으려고 별짓거리 다 했더만 ㅋㅋ. 우리집 개도 좀 저렇게 말잘들으면 얼마나 좋을까,,,2021-05-22 12:05:35,2021-05-22 12:05:35
1580103,29143,"중국이 g ral하면 더이상 끌려다닐 필요 없이 쿼드 가입해야한다, 지금도 많이 양보한건데 더이상 양보 할게 없다, 러시아도 한국과 척지지말라고 중국의 경고했다",,,2021-05-22 12:18:50,2021-05-22 12:18:50
1580102,29143,중공이  득보다   실이   더  큰   모든  범죄행위를  중단하고  사과하고  보상하면  불안해할  필요가   없는데,,,2021-05-22 12:36:45,2021-05-22 12:36:45
1580101,29143,중국은. 무조건 다 지꺼라고 우기겨된다고 생각하는게 문제임! 인터넷 검열해서 국민들 다 속이고 또 그 국민들은 그걸 믿고.. 과연 그들에게  진실이란게 있긴할까? 그냥 중국정치인들은 국민을 지들이 속이면 속일수있는 바보멍청이로 보는거임.,,,2021-05-22 13:11:26,2021-05-22 13:11:26
1580100,29143,중국이 득을 줘도 행복할 나라가 있을까? 빚더미에 앉은 나라가 한두개가 아니던데?,,,2021-05-22 13:18:51,2021-05-22 13:18:51
1580099,29143,"이는 바꿔말하자면, 미일대화 때와는 달리 미국은 한국과는 중대한 대화를 나누진 않았다, 즉 알맹이는 없고 실없는 내용들만 오고 갔다는 뜻이지.",,,2021-05-22 13:23:20,2021-05-22 13:23:20
1580098,29143,중국의 꼬붕 문재앙,,,2021-05-22 13:30:25,2021-05-22 13:30:25
1580097,29143,대륙,,,2021-05-22 13:40:13,2021-05-22 13:40:13
1580096,29143,쿼드나 가입해,,,2021-05-22 13:40:14,2021-05-22 13:40:14
1580095,29143,언제까지 짜장들 눈치볼거냐? 밀어 붙일건 붙이자,,,2021-05-22 13:48:16,2021-05-22 13:48:16
1580094,29143,문재인이 중국에다가 미국가서 쑈만하고 온다고 이미 말을 해놧나,,,2021-05-22 14:03:39,2021-05-22 14:03:39
1580093,29103,미사일 주권을 뺐긴 것은 북한 도발 때문이었다. 당시 이승만이 6.25에 열받아서 북한으로 단독 전쟁을 걸까봐 전작권도 안주고 미사일도 제한한거다. 모든 것은 북한의 도발로부터 비롯된거다. 당연히 미사일 주권은 찾아야하고 하루빨리 문재앙이가 물러나 정부지원으로 우주사업까지 개발해야한다. 모든 것을 쳐막고 있는 문재앙일당의 실상은 참담하다. 산을 깍아 태양광 말고 한 것이 전무하다. 대기업을 괴롭히다못해 감옥에 쳐넣고 궁민들이 하지말라는 것만 골라서 하고 있다. 문재앙이가 물러나야 모든 것이 정상으로 돌아간다.,,,2021-05-22 14:04:30,2021-05-22 14:04:30
1580092,29103,군사권을 찾아와야지 ㅡㅡ그래야 진정한 대한민국 독립이 완성이 되는것이지 ㅡㅡ지금 미국의식민지잔어 ㅡㅡㅡ 군사권이 미국이 가지고있는데 무슨 미사일 하나가지고 잘햇다 못햇다하나 ㅡㅡ당연히 가져와야하고 군사권도 가져와야 독립이 되는것이지 ㅡㅡㅡㅡ,,,2021-05-22 14:04:34,2021-05-22 14:04:34
1580091,29142,음..지금 확진되는 유부남들... 가정싸움 나겠네 ㅎㅎ,,,2021-05-22 12:56:09,2021-05-22 12:56:09
1580090,29142,왜 대구 가서 지랄이냐고 염병들아!!,,,2021-05-22 12:56:36,2021-05-22 12:56:36
1580089,29142,유독 대구만 대문짝만하게 코로나 집단감염 광고해주는 기분이네 내용도 안보고 까내리기만 하던데 왜죠?,,,2021-05-22 12:57:01,2021-05-22 12:57:01
1580088,29142,아니 이시국에 떡을 치냐고 떡을!?,,,2021-05-22 12:57:05,2021-05-22 12:57:05
1580087,29142,대구가 대구했다 신천지 이슬람사원 이번엔 유흥주점까지..,,,2021-05-22 12:58:42,2021-05-22 12:58:42
1580086,29142,문제는 지난 겨울펜데믹이후 제대로된 방역이 한번도없었고 주먹구구식 땜질식방역으로 일관하며 반년이상 바이러스는 줄 생각을안하고 오히려 양성중 이제 하루 천명이상 눈앞이라는것이다 당장눈앞에 터지는 업종 지역만 틀어막는다고 이조그만땅 그많은 집합시설에 바이러스가 안모이겠는가?확산초기 골든타임마다 한두번만 두어주 전국을 확실하게 틀어막기만 했어도 이렇게 지루한 바이러스 세상이 되었겠는가?,,,2021-05-22 12:59:21,2021-05-22 12:59:21
1580085,29142,일년 넘도록 숫자는 왜. 뉴스거리가 되는것인지 ㅡㅡ지겹다. 진짜,,,2021-05-22 13:03:11,2021-05-22 13:03:11
1580084,29142,"Kbs 이것들 서울은 자세히 보도 안하고 대구만
왜 자세히 보도하고 난리야.
Kbs 안볼 이유가 또하나 생겼네.",,,2021-05-22 13:04:26,2021-05-22 13:04:26
1580083,29142,참 팔자좋게 유흥업소 다니는 인간들은 뭐냐? 다들코로나 끝난줄,,,2021-05-22 13:04:52,2021-05-22 13:04:52
1580082,29142,여자끼고 술마시다 걸린 새끼는 신상공개해라ㅡ 주변 사람들 안 걸리게,,,2021-05-22 13:09:15,2021-05-22 13:09:15
1580081,29142,우리나라는 코로나종식 될려면 최소5년이다,,,2021-05-22 13:09:16,2021-05-22 13:09:16
1580080,29142,문재인 코로나가 조기종식 안되냐?조기종식한댔자나~안되냐??백신 없냐??미국 없으면 안되는구나?근데 문재인 미국 싫어하자나.반미주의자 아녀??,,,2021-05-22 13:09:27,2021-05-22 13:09:27
1580079,29142,지금 유흥업소다니는 인간들은 코로나걸려 고생좀하고 평생 고생해봐야된다!!,,,2021-05-22 13:10:11,2021-05-22 13:10:11
1580078,29142,대구놈들 뮨통 지지안한 벌이다,,,2021-05-22 13:11:39,2021-05-22 13:11:39
1580077,29142,1947명인줄...,,,2021-05-22 13:13:27,2021-05-22 13:13:27
